Dataset Events,,,,,,
Dataset,Marked on Device,Note,Start,End,trial,
LOG04_0078_2015_02_23,TRUE,,9:35:59,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:36:27,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:37:23,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:37:23,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:37:24,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:37:24,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:37:24,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:37:31,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:37:31,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:37:32,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:37:32,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:37:32,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:37:33,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:38:03,N/A,2,
LOG04_0078_2015_02_23,TRUE,,9:38:03,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:38:08,N/A,2,
LOG04_0078_2015_02_23,TRUE,,9:38:10,N/A,2,
LOG04_0078_2015_02_23,TRUE,,9:38:18,N/A,3,
LOG04_0078_2015_02_23,TRUE,,9:38:24,N/A,3,
LOG04_0078_2015_02_23,TRUE,,9:38:29,N/A,3,
LOG04_0078_2015_02_23,TRUE,,9:38:35,N/A,4,
LOG04_0078_2015_02_23,TRUE,,9:38:35,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:38:40,N/A,4,
LOG04_0078_2015_02_23,TRUE,,9:38:44,N/A,4,
LOG04_0078_2015_02_23,TRUE,,9:38:51,N/A,5,
LOG04_0078_2015_02_23,TRUE,,9:38:55,N/A,5,
LOG04_0078_2015_02_23,TRUE,,9:38:58,N/A,5,
LOG04_0078_2015_02_23,TRUE,,9:39:05,N/A,6,
LOG04_0078_2015_02_23,TRUE,,9:39:10,N/A,6,
LOG04_0078_2015_02_23,TRUE,,9:39:16,N/A,6,
LOG04_0078_2015_02_23,TRUE,,9:39:23,N/A,7,
LOG04_0078_2015_02_23,TRUE,,9:39:28,N/A,7,
LOG04_0078_2015_02_23,TRUE,,9:39:31,N/A,7,
LOG04_0078_2015_02_23,TRUE,,9:39:37,N/A,8,
LOG04_0078_2015_02_23,TRUE,,9:39:38,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:39:41,N/A,8,
LOG04_0078_2015_02_23,TRUE,,9:39:44,N/A,8,
LOG04_0078_2015_02_23,TRUE,,9:39:51,N/A,9,
LOG04_0078_2015_02_23,TRUE,,9:39:51,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:39:55,N/A,9,
LOG04_0078_2015_02_23,TRUE,,9:39:57,N/A,9,
LOG04_0078_2015_02_23,TRUE,,9:40:05,N/A,10,
LOG04_0078_2015_02_23,TRUE,,9:40:11,N/A,10,
LOG04_0078_2015_02_23,TRUE,,9:40:14,N/A,10,
LOG04_0078_2015_02_23,TRUE,,9:40:21,N/A,11,
LOG04_0078_2015_02_23,TRUE,,9:40:21,N/A,,
LOG04_0078_2015_02_23,TRUE,,9:40:27,N/A,11,
LOG04_0078_2015_02_23,TRUE,,9:40:29,N/A,11,
LOG04_0078_2015_02_23,TRUE,,9:40:37,N/A,12,
