Dataset Events,,,,,,
Dataset,Marked on Device,Note,Start,End,trial,
P3,TRUE,,12:01:29,N/A,,
P3,TRUE,,12:02:26,N/A,,
P3,TRUE,,12:02:52,N/A,,start
P3,TRUE,,12:03:33,N/A,1,
P3,TRUE,,12:03:38,N/A,1,
P3,TRUE,,12:03:41,N/A,1,
P3,TRUE,,12:03:49,N/A,2,
P3,TRUE,,12:03:52,N/A,2,
P3,TRUE,,12:03:56,N/A,2,
P3,TRUE,,12:04:03,N/A,3,
P3,TRUE,,12:04:06,N/A,3,
P3,TRUE,,12:04:10,N/A,3,
P3,TRUE,,12:04:16,N/A,4,
P3,TRUE,,12:04:19,N/A,4,
P3,TRUE,,12:04:22,N/A,4,
P3,TRUE,,12:04:29,N/A,5,
P3,TRUE,,12:04:32,N/A,5,
P3,TRUE,,12:04:35,N/A,5,
P3,TRUE,,12:04:42,N/A,6,
P3,TRUE,,12:04:45,N/A,6,
P3,TRUE,,12:04:48,N/A,6,
P3,TRUE,,12:04:55,N/A,7,
P3,TRUE,,12:04:58,N/A,7,
P3,TRUE,,12:05:02,N/A,7,
P3,TRUE,,12:05:08,N/A,8,
,,,12:05:11,,8,
P3,TRUE,,12:05:15,N/A,8,
P3,TRUE,,12:05:22,N/A,9,
P3,TRUE,,12:05:25,N/A,9,
P3,TRUE,,12:05:28,N/A,9,
P3,TRUE,,12:05:34,N/A,10,
P3,TRUE,,12:05:37,N/A,10,
P3,TRUE,,12:05:41,N/A,10,
P3,TRUE,,12:05:48,N/A,11,
P3,TRUE,,12:05:51,N/A,11,
P3,TRUE,,12:05:54,N/A,11,
P3,TRUE,,12:06:01,N/A,12,
P3,TRUE,,12:06:04,N/A,12,
P3,TRUE,,12:06:07,N/A,12,
P3,TRUE,,12:06:14,N/A,13,
P3,TRUE,,12:06:17,N/A,13,
,,,12:06:20,,13,
P3,TRUE,,12:06:27,N/A,14,
P3,TRUE,,12:06:30,N/A,14,
P3,TRUE,,12:06:34,N/A,14,
P3,TRUE,,12:06:41,N/A,15,
P3,TRUE,,12:06:43,N/A,15,
P3,TRUE,,12:06:47,N/A,15,
P3,TRUE,,12:06:54,N/A,16,
P3,TRUE,,12:06:56,N/A,16,
P3,TRUE,,12:07:00,N/A,16,
P3,TRUE,,12:07:06,N/A,17,
P3,TRUE,,12:07:08,N/A,17,
P3,TRUE,,12:07:11,N/A,17,
P3,TRUE,,12:07:18,N/A,18,
P3,TRUE,,12:07:21,N/A,18,
P3,TRUE,,12:07:25,N/A,18,
P3,TRUE,,12:07:32,N/A,19,
P3,TRUE,,12:07:34,N/A,19,
P3,TRUE,,12:07:37,N/A,19,
P3,TRUE,,12:07:44,N/A,20,
P3,TRUE,,12:07:47,N/A,20,
P3,TRUE,,12:07:50,N/A,20,
P3,TRUE,,12:07:57,N/A,21,
P3,TRUE,,12:07:59,N/A,21,
P3,TRUE,,12:08:02,N/A,21,
P3,TRUE,,12:08:08,N/A,22,
P3,TRUE,,12:08:11,N/A,22,
P3,TRUE,,12:08:14,N/A,22,
P3,TRUE,,12:08:21,N/A,23,
P3,TRUE,,12:08:24,N/A,23,
P3,TRUE,,12:08:27,N/A,23,
P3,TRUE,,12:08:34,N/A,24,
P3,TRUE,,12:08:37,N/A,24,
P3,TRUE,,12:08:40,N/A,24,
P3,TRUE,,12:08:45,N/A,,oops
P3,TRUE,,12:08:48,N/A,25,
P3,TRUE,,12:08:48,N/A,,opps
P3,TRUE,,12:08:49,N/A,,opps
P3,TRUE,,12:08:49,N/A,,oops
P3,TRUE,,12:08:50,N/A,25,
P3,TRUE,,12:08:53,N/A,25,
P3,TRUE,,12:08:59,N/A,26,
P3,TRUE,,12:09:02,N/A,26,
P3,TRUE,,12:09:05,N/A,26,
