Dataset Events,,,,,,
Dataset,Marked on Device,Note,Start,End,trial,
P8,TRUE,,11:18:09,N/A,,
P8,TRUE,,11:18:30,N/A,,
P8,TRUE,,11:32:46,N/A,,
P8,TRUE,,11:33:14,N/A,,
P8,TRUE,,11:33:21,N/A,,
P8,TRUE,,11:33:47,N/A,,
P8,TRUE,,11:35:52,N/A,,
P8,TRUE,,11:36:47,N/A,,start
P8,TRUE,,11:37:17,N/A,1,
P8,TRUE,,11:37:20,N/A,1,
P8,TRUE,,11:37:24,N/A,1,
P8,TRUE,,11:37:31,N/A,,2 buttocks prompt did not know word
P8,TRUE,,11:38:18,N/A,2,buttocks repeat
P8,TRUE,,11:38:18,N/A,,
P8,TRUE,,11:38:21,N/A,2,
P8,TRUE,,11:38:24,N/A,2,
P8,TRUE,,11:38:32,N/A,3,
P8,TRUE,,11:38:33,N/A,,
P8,TRUE,,11:38:33,N/A,,
P8,TRUE,,11:38:33,N/A,,
P8,TRUE,,11:38:35,N/A,3,
P8,TRUE,,11:38:39,N/A,3,
P8,TRUE,,11:38:46,N/A,4,
P8,TRUE,,11:38:46,N/A,,
P8,TRUE,,11:38:46,N/A,,
P8,TRUE,,11:38:46,N/A,,
P8,TRUE,,11:38:47,N/A,,
P8,TRUE,,11:38:49,N/A,4,
P8,TRUE,,11:38:52,N/A,4,
P8,TRUE,,11:38:59,N/A,5,
P8,TRUE,,11:39:00,N/A,,
P8,TRUE,,11:39:00,N/A,,
P8,TRUE,,11:39:00,N/A,,
P8,TRUE,,11:39:00,N/A,,
P8,TRUE,,11:39:00,N/A,,
P8,TRUE,,11:39:03,N/A,5,
P8,TRUE,,11:39:09,N/A,5,
P8,TRUE,,11:39:17,N/A,6,
P8,TRUE,,11:39:21,N/A,6,
P8,TRUE,,11:39:27,N/A,6,
P8,TRUE,,11:39:34,N/A,7,
P8,TRUE,,11:39:37,N/A,7,
P8,TRUE,,11:39:40,N/A,7,
P8,TRUE,,11:39:47,N/A,8,
P8,TRUE,,11:39:50,N/A,8,
P8,TRUE,,11:39:54,N/A,8,
P8,TRUE,,11:40:01,N/A,9,
P8,TRUE,,11:40:04,N/A,9,
P8,TRUE,,11:40:07,N/A,9,
P8,TRUE,,11:40:15,N/A,10,
P8,TRUE,,11:40:19,N/A,10,
P8,TRUE,,11:40:22,N/A,10,
P8,TRUE,,11:40:30,N/A,11,
P8,TRUE,,11:40:36,N/A,11,
P8,TRUE,,11:40:39,N/A,11,
P8,TRUE,,11:40:47,N/A,12,
P8,TRUE,,11:40:50,N/A,12,
P8,TRUE,,11:40:54,N/A,12,
P8,TRUE,,11:41:01,N/A,13,
P8,TRUE,,11:41:05,N/A,13,
P8,TRUE,,11:41:09,N/A,13,
P8,TRUE,,11:41:17,N/A,14,
P8,TRUE,,11:41:21,N/A,14,
P8,TRUE,,11:41:25,N/A,14,
P8,TRUE,,11:41:32,N/A,15,
P8,TRUE,,11:41:37,N/A,15,
P8,TRUE,,11:41:41,N/A,15,
P8,TRUE,,11:41:48,N/A,16,
P8,TRUE,,11:41:51,N/A,16,
P8,TRUE,,11:41:54,N/A,16,
P8,TRUE,,11:42:01,N/A,17,
P8,TRUE,,11:42:07,N/A,17,
P8,TRUE,,11:42:14,N/A,17,
,,,11:42:41,,18,oops missed
P8,TRUE,,11:42:44,N/A,18,
P8,TRUE,,11:42:47,N/A,18,
P8,TRUE,,11:42:55,N/A,19,
P8,TRUE,,11:42:58,N/A,19,
P8,TRUE,,11:43:02,N/A,19,
P8,TRUE,,11:43:09,N/A,20,
P8,TRUE,,11:43:12,N/A,20,
P8,TRUE,,11:43:15,N/A,20,
P8,TRUE,,11:43:23,N/A,21,
P8,TRUE,,11:43:26,N/A,21,
P8,TRUE,,11:43:30,N/A,21,
P8,TRUE,,11:43:37,N/A,22,
P8,TRUE,,11:43:39,N/A,22,
P8,TRUE,,11:43:42,N/A,22,
P8,TRUE,,11:43:49,N/A,23,
P8,TRUE,,11:43:53,N/A,23,
P8,TRUE,,11:43:56,N/A,23,
P8,TRUE,,11:44:03,N/A,24,
P8,TRUE,,11:44:06,N/A,24,
P8,TRUE,,11:44:10,N/A,24,
P8,TRUE,,11:44:17,N/A,25,
P8,TRUE,,11:44:19,N/A,25,
P8,TRUE,,11:44:23,N/A,25,
P8,TRUE,,11:44:29,N/A,26,
P8,TRUE,,11:44:32,N/A,26,
P8,TRUE,,11:44:35,N/A,26,
