Dataset Events,,,,,,
Dataset,Marked on Device,Note,Start,End,trial,
LOG22_0078_2015_02_23,TRUE,,22:59:38,N/A,,x
LOG22_0078_2015_02_23,TRUE,,23:00:16,N/A,,x
LOG22_0078_2015_02_23,TRUE,,23:00:16,N/A,,x
LOG22_0078_2015_02_23,TRUE,,23:00:16,N/A,,x
LOG22_0078_2015_02_23,TRUE,,23:00:17,N/A,,x
LOG22_0078_2015_02_23,TRUE,,23:00:17,N/A,,x
LOG22_0078_2015_02_23,TRUE,,23:00:26,N/A,,x
LOG22_0078_2015_02_23,TRUE,,23:00:51,N/A,2,
LOG22_0078_2015_02_23,TRUE,,23:00:51,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:00:58,N/A,2,
LOG22_0078_2015_02_23,TRUE,,23:00:59,N/A,2,
LOG22_0078_2015_02_23,TRUE,,23:01:07,N/A,3,
LOG22_0078_2015_02_23,TRUE,,23:01:07,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:01:07,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:01:12,N/A,3,
LOG22_0078_2015_02_23,TRUE,,23:01:14,N/A,3,
LOG22_0078_2015_02_23,TRUE,,23:01:22,N/A,4,
LOG22_0078_2015_02_23,TRUE,,23:01:22,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:01:27,N/A,4,
LOG22_0078_2015_02_23,TRUE,,23:01:28,N/A,4,
LOG22_0078_2015_02_23,TRUE,,23:01:34,N/A,5,
LOG22_0078_2015_02_23,TRUE,,23:01:35,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:01:35,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:01:39,N/A,5,
LOG22_0078_2015_02_23,TRUE,,23:01:40,N/A,5,
LOG22_0078_2015_02_23,TRUE,,23:01:48,N/A,6,
LOG22_0078_2015_02_23,TRUE,,23:01:48,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:01:49,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:01:49,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:01:54,N/A,6,
LOG22_0078_2015_02_23,TRUE,,23:01:55,N/A,6,
LOG22_0078_2015_02_23,TRUE,,23:02:03,N/A,7,
LOG22_0078_2015_02_23,TRUE,,23:02:04,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:02:04,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:02:04,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:02:09,N/A,7,
LOG22_0078_2015_02_23,TRUE,,23:02:10,N/A,7,
LOG22_0078_2015_02_23,TRUE,,23:02:17,N/A,8,
LOG22_0078_2015_02_23,TRUE,,23:02:17,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:02:18,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:02:18,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:02:18,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:02:18,N/A,,
LOG22_0078_2015_02_23,TRUE,,23:02:24,N/A,8,
LOG22_0078_2015_02_23,TRUE,,23:02:26,N/A,8,
LOG22_0078_2015_02_23,TRUE,,23:02:33,N/A,9,
LOG22_0078_2015_02_23,TRUE,,23:02:33,N/A,,
