Dataset Events,,,,,,
Dataset,Marked on Device,Note,Start,End,trial,
LOG06_0078_2015_02_23,TRUE,,18:58:48,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:00:57,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:02:37,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:03:27,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:04:14,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:04:14,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:04:14,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:04:15,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:04:45,N/A,2,
LOG06_0078_2015_02_23,TRUE,,19:04:48,N/A,2,
LOG06_0078_2015_02_23,TRUE,,19:04:49,N/A,2,
LOG06_0078_2015_02_23,TRUE,,19:04:55,N/A,3,
LOG06_0078_2015_02_23,TRUE,,19:05:00,N/A,3,
LOG06_0078_2015_02_23,TRUE,,19:05:02,N/A,3,
LOG06_0078_2015_02_23,TRUE,,19:05:09,N/A,4,
LOG06_0078_2015_02_23,TRUE,,19:05:13,N/A,4,
LOG06_0078_2015_02_23,TRUE,,19:05:14,N/A,4,
LOG06_0078_2015_02_23,TRUE,,19:05:21,N/A,5,
LOG06_0078_2015_02_23,TRUE,,19:05:21,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:05:25,N/A,5,
LOG06_0078_2015_02_23,TRUE,,19:05:26,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:05:28,N/A,5,
LOG06_0078_2015_02_23,TRUE,,19:05:34,N/A,6,
LOG06_0078_2015_02_23,TRUE,,19:05:35,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:05:35,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:05:35,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:05:38,N/A,6,
LOG06_0078_2015_02_23,TRUE,,19:05:41,N/A,6,
LOG06_0078_2015_02_23,TRUE,,19:05:48,N/A,7,
LOG06_0078_2015_02_23,TRUE,,19:05:48,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:05:48,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:05:53,N/A,7,
LOG06_0078_2015_02_23,TRUE,,19:05:54,N/A,7,
LOG06_0078_2015_02_23,TRUE,,19:06:00,N/A,8,
LOG06_0078_2015_02_23,TRUE,,19:06:01,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:06:01,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:06:01,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:06:01,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:06:01,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:06:01,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:06:02,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:06:04,N/A,8,
LOG06_0078_2015_02_23,TRUE,,19:06:06,N/A,8,
LOG06_0078_2015_02_23,TRUE,,19:06:13,N/A,9,
LOG06_0078_2015_02_23,TRUE,,19:06:13,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:06:13,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:06:13,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:06:21,N/A,9,
LOG06_0078_2015_02_23,TRUE,,19:06:22,N/A,9,
LOG06_0078_2015_02_23,TRUE,,19:06:35,N/A,10,
LOG06_0078_2015_02_23,TRUE,,19:06:38,N/A,10,
LOG06_0078_2015_02_23,TRUE,,19:06:40,N/A,10,
LOG06_0078_2015_02_23,TRUE,,19:06:47,N/A,11,
LOG06_0078_2015_02_23,TRUE,,19:06:52,N/A,11,
LOG06_0078_2015_02_23,TRUE,,19:06:53,N/A,11,
LOG06_0078_2015_02_23,TRUE,,19:07:00,N/A,12,
LOG06_0078_2015_02_23,TRUE,,19:07:01,N/A,,
LOG06_0078_2015_02_23,TRUE,,19:07:05,N/A,12,
LOG06_0078_2015_02_23,TRUE,,19:07:06,N/A,12,
