Dataset Events,,,,,,
Dataset,Marked on Device,Note,Start,End,trial,
LOG03_0078_2015_02_24,TRUE,,20:27:14,N/A,,
LOG03_0078_2015_02_24,TRUE,,20:28:20,N/A,,
LOG03_0078_2015_02_24,TRUE,,20:30:26,N/A,,
LOG03_0078_2015_02_24,TRUE,,20:32:42,N/A,,
LOG03_0078_2015_02_24,TRUE,,20:32:47,N/A,,
LOG03_0078_2015_02_24,TRUE,,20:33:32,N/A,2,
LOG03_0078_2015_02_24,TRUE,,20:33:36,N/A,2,
LOG03_0078_2015_02_24,TRUE,,20:33:37,N/A,2,
LOG03_0078_2015_02_24,TRUE,,20:33:46,N/A,3,
LOG03_0078_2015_02_24,TRUE,,20:33:51,N/A,3,
LOG03_0078_2015_02_24,TRUE,,20:33:53,N/A,3,
LOG03_0078_2015_02_24,TRUE,,20:33:59,N/A,,?
LOG03_0078_2015_02_24,TRUE,,20:34:06,N/A,4,
LOG03_0078_2015_02_24,TRUE,,20:34:11,N/A,4,
LOG03_0078_2015_02_24,TRUE,,20:34:12,N/A,4,
LOG03_0078_2015_02_24,TRUE,,20:34:19,N/A,5,
LOG03_0078_2015_02_24,TRUE,,20:34:24,N/A,,
LOG03_0078_2015_02_24,TRUE,,20:34:25,N/A,5,
LOG03_0078_2015_02_24,TRUE,,20:34:27,N/A,5,
LOG03_0078_2015_02_24,TRUE,,20:34:35,N/A,6,
LOG03_0078_2015_02_24,TRUE,,20:34:40,N/A,6,
LOG03_0078_2015_02_24,TRUE,,20:34:41,N/A,6,
LOG03_0078_2015_02_24,TRUE,,20:34:50,N/A,7,
LOG03_0078_2015_02_24,TRUE,,20:34:56,N/A,7,
LOG03_0078_2015_02_24,TRUE,,20:34:56,N/A,7,
LOG03_0078_2015_02_24,TRUE,,20:35:04,N/A,8,
LOG03_0078_2015_02_24,TRUE,,20:35:09,N/A,8,
LOG03_0078_2015_02_24,TRUE,,20:35:11,N/A,8,
LOG03_0078_2015_02_24,TRUE,,20:35:19,N/A,9,
LOG03_0078_2015_02_24,TRUE,,20:35:24,N/A,9,
LOG03_0078_2015_02_24,TRUE,,20:35:25,N/A,9,
LOG03_0078_2015_02_24,TRUE,,20:35:33,N/A,10,
LOG03_0078_2015_02_24,TRUE,,20:35:37,N/A,10,
LOG03_0078_2015_02_24,TRUE,,20:35:39,N/A,10,
LOG03_0078_2015_02_24,TRUE,,20:35:47,N/A,11,
LOG03_0078_2015_02_24,TRUE,,20:35:53,N/A,11,
LOG03_0078_2015_02_24,TRUE,,20:35:55,N/A,11,
LOG03_0078_2015_02_24,TRUE,,20:36:02,N/A,12,
LOG03_0078_2015_02_24,TRUE,,20:36:07,N/A,12,
LOG03_0078_2015_02_24,TRUE,,20:36:09,N/A,12,
LOG03_0078_2015_02_24,TRUE,,20:36:17,N/A,13,
LOG03_0078_2015_02_24,TRUE,,20:36:21,N/A,13,
LOG03_0078_2015_02_24,TRUE,,20:36:23,N/A,13,
LOG03_0078_2015_02_24,TRUE,,20:36:32,N/A,14,
LOG03_0078_2015_02_24,TRUE,,20:36:37,N/A,14,
LOG03_0078_2015_02_24,TRUE,,20:36:38,N/A,14,
LOG03_0078_2015_02_24,TRUE,,20:36:47,N/A,15,
LOG03_0078_2015_02_24,TRUE,,20:36:54,N/A,15,
LOG03_0078_2015_02_24,TRUE,,20:36:55,N/A,15,
LOG03_0078_2015_02_24,TRUE,,20:37:04,N/A,16,
LOG03_0078_2015_02_24,TRUE,,20:37:10,N/A,16,
LOG03_0078_2015_02_24,TRUE,,20:37:10,N/A,16,
LOG03_0078_2015_02_24,TRUE,,20:37:18,N/A,17,
LOG03_0078_2015_02_24,TRUE,,20:37:24,N/A,17,
LOG03_0078_2015_02_24,TRUE,,20:37:25,N/A,17,
LOG03_0078_2015_02_24,TRUE,,20:37:33,N/A,18,
LOG03_0078_2015_02_24,TRUE,,20:37:39,N/A,18,
LOG03_0078_2015_02_24,TRUE,,20:37:40,N/A,18,
LOG03_0078_2015_02_24,TRUE,,20:37:48,N/A,19,
LOG03_0078_2015_02_24,TRUE,,20:37:53,N/A,19,
LOG03_0078_2015_02_24,TRUE,,20:37:55,N/A,19,
LOG03_0078_2015_02_24,TRUE,,20:38:01,N/A,20,
LOG03_0078_2015_02_24,TRUE,,20:38:04,N/A,,
LOG03_0078_2015_02_24,TRUE,,20:38:10,N/A,20,
LOG03_0078_2015_02_24,TRUE,,20:38:11,N/A,20,
LOG03_0078_2015_02_24,TRUE,,20:38:21,N/A,21,
LOG03_0078_2015_02_24,TRUE,,20:38:28,N/A,21,
LOG03_0078_2015_02_24,TRUE,,20:38:30,N/A,21,
LOG03_0078_2015_02_24,TRUE,,20:38:40,N/A,22,
LOG03_0078_2015_02_24,TRUE,,20:38:45,N/A,22,
LOG03_0078_2015_02_24,TRUE,,20:38:46,N/A,22,
LOG03_0078_2015_02_24,TRUE,,20:38:56,N/A,23,
LOG03_0078_2015_02_24,TRUE,,20:39:00,N/A,23,
LOG03_0078_2015_02_24,TRUE,,20:39:02,N/A,23,
LOG03_0078_2015_02_24,TRUE,,20:39:11,N/A,24,
LOG03_0078_2015_02_24,TRUE,,20:39:21,N/A,24,
LOG03_0078_2015_02_24,TRUE,,20:39:22,N/A,24,
LOG03_0078_2015_02_24,TRUE,,20:39:30,N/A,25,
LOG03_0078_2015_02_24,TRUE,,20:39:37,N/A,25,
LOG03_0078_2015_02_24,TRUE,,20:39:38,N/A,25,
LOG03_0078_2015_02_24,TRUE,,20:39:46,N/A,26,
LOG03_0078_2015_02_24,TRUE,,20:39:52,N/A,26,
LOG03_0078_2015_02_24,TRUE,,20:39:53,N/A,26,
LOG03_0078_2015_02_24,TRUE,,20:40:03,N/A,27,
LOG03_0078_2015_02_24,TRUE,,20:40:09,N/A,27,
LOG03_0078_2015_02_24,TRUE,,20:40:10,N/A,27,
LOG03_0078_2015_02_24,TRUE,,20:40:20,N/A,28,
LOG03_0078_2015_02_24,TRUE,,20:40:24,N/A,28,
LOG03_0078_2015_02_24,TRUE,,20:40:27,N/A,28,
LOG03_0078_2015_02_24,TRUE,,20:40:35,N/A,29,
LOG03_0078_2015_02_24,TRUE,,20:40:42,N/A,29,
LOG03_0078_2015_02_24,TRUE,,20:40:43,N/A,29,
LOG03_0078_2015_02_24,TRUE,,20:40:52,N/A,30,
LOG03_0078_2015_02_24,TRUE,,20:40:58,N/A,30,
LOG03_0078_2015_02_24,TRUE,,20:41:00,N/A,30,
LOG03_0078_2015_02_24,TRUE,,20:41:09,N/A,31,
LOG03_0078_2015_02_24,TRUE,,20:41:15,N/A,31,
LOG03_0078_2015_02_24,TRUE,,20:41:16,N/A,31,
LOG03_0078_2015_02_24,TRUE,,20:41:24,N/A,32,
LOG03_0078_2015_02_24,TRUE,,20:41:29,N/A,32,
LOG03_0078_2015_02_24,TRUE,,20:41:32,N/A,32,
